"text","label","model","source","domain","language"
"1. Merriam-Webster's Collegiate Dictionary：美国最受欢迎的大学词典。

2. Oxford Dictionary of English：英国最受欢迎的词典，拥有英语最全面的词汇库。

3. Longman Dictionary of Contemporary English：最新的英语词典，拥有最新的语言用法和词汇。

4. Cambridge Advanced Learner's Dictionary：英语学习者的终极词典，拥有详细的词汇解释和例句。

5. Macmillan English Dictionary：英语学习者的实用词典，拥有丰富的词汇和例句。

6. Collins English Dictionary：英国最受欢迎的词典，拥有英语最全面的词汇库。

7. Chambers Dictionary：英国最受欢迎的词典，拥有英语最全面的词汇库。","1.0","davinci","chinese","","chinese"
"？

男生知道有女生喜欢自己之后，可能会有不同的反应。一些男生可能会感到惊讶，或者有些激动兴奋的感觉，也有可能会有点害羞。另一些男生可能会想要了解更多关于这个女生的信息，也有可能会做出一些举动来表示关注，比如发短信、打电话或者约会等。总之，男生可能会有各种不同的反应，这取决于他们的性格和个人喜好。","1.0","davinci","chinese","","chinese"
"灵芝的提取方式为热水,酒精提取两种:热水提取在大火煮开后慢熬40分钟，其药效多糖类为主,绝大部分成分能较好的溶于水中!(速度快)但灵芝酸、皂甙、麦角甾醇等成分成分在热水的提取情况下,并不能很好的溶解,反而在酒精中能较好的溶出,但多糖成分却不如热水中提出,(速度慢)所以两者各有优缺点：,对于高血压,癌症类患者建议用热水煎服,效果较好。而风湿,冠心病,支气管类患 者用灵芝酒的方式 更好。因此,在泡酒时,将酒加热到80度,85度左右来泡灵芝是不错的选择。,而泡茶或炖肉等从某种 程度来说是较为浪费的服用方法,当然不是说不行! 所以,灵芝的原药材如果泡茶喝,效果不如煎水喝。另外一点,尽量的弄碎一些,有助于药效散开!灵芝的用量与水量大家可以自己适当把握,水多,灵芝少则浓度大些,水少一点,灵芝分量多一点!1 > 一般情况下,25克左右灵芝加水400ml或500ml水,待水煎得少了1/2或1/3时,可服用,早上水煎一次,晚上可重复再煎一次,节约用的话,可重复煎第三次,四次的!2 > 泡酒的话,用量可自定,灵芝多,酒少则药浓;灵芝少,酒多则药效稀的了.由于灵芝溶于乙醇的速率较慢,帮泡酒时间是愈长为好了,所谓""酒是陈的香""了!","0.0","human","chinese","","chinese"
"很抱歉，作为人工智能助手，我无法提供地区特定的医疗服务价格。建议您在当地医院或诊所咨询医生或医疗机构，了解手术费用及治疗流程等相关信息。","1.0","chatGPT","chinese","","chinese"
"这种情况可能是由于刹车助力器失效或者真空泵有问题导致的。在熄火的情况下，真空泵失去了动力，无法产生吸力，也就无法帮助刹车辅助器工作。因此，每次踩刹车都需要用更大的力气来压缩刹车辅助器。当踩了多次刹车之后，刹车辅助器可能会丧失刹车助力，导致刹车踏板变得更加难以踩下去。这样的设定是为了在车辆停驶时也能够有效的刹住车辆，以提高行车安全性。如果你遇到了这种情况，建议尽快检查并修复刹车系统问题，才能保证行车安全。","1.0","chatGPT","chinese","","chinese"
"要刻苦练习 想celine dion的歌 还有比如一些艾薇儿的轻快点点音乐如a thousond miles 你下下来 最后却google 有歌词 最好是ipod直接就有歌词 可以随意练习 加油吧 你会有效果的","0.0","human","chinese","","chinese"
"计算。

首先，你需要确定反应式中物质的原子质量，即每个物质的原子量，然后计算出反应式中每种物质的质量，最后根据反应式中的物质的摩尔比例计算出某种物质的质量。例如，反应式为2H2+O2→2H2O，求H2的质量，则可以根据反应式中的摩尔比例，即2：1，计算出H2的质量为2H2O的质量的一半。","1.0","davinci","chinese","","chinese"
"开发商是做的也没什么错，不可能重新做，你就不要想了，比如你们楼的排污管都是一体的，一家的出现了泄漏，那就要把整个楼的全换了吗？只要经过打压实验没事就可以。
我建设做好后，你和开发商写明这次的维修记录，并约定如此资维修后如再发生问题，再全部更换，这样协商我看还可以。","0.0","human","chinese","","chinese"
"17届应届本科生，中部省会城市，拿到了中学个性化咨询师的 offer，然后实习了三个月，思索再三，决定离开。在我所在的城市，新东方的市场占有率很高，绝对是龙头地位。每个城市的新东方情况都不一样，我只想说说我所在的新东方和我所在的优能中学。新东方的面试是很严格的，我在秋招里面面了5个公司，除了华为，都拿到了offer，新东方是耗时最长最复杂的一个。我先后经历了群面，二面（笔试即兴演讲），七天试岗，专业面，校长","0.0","human","chinese","","chinese"
"1. 大牛们一般会使用单元测试框架，如 JUnit、TestNG 等来进行单元测试。在进行单元测试之前，通常还需要使用持续集成工具（如 Jenkins）来自动化编译、打包、部署代码，以及运行单元测试用例。

2. 对于 GUI 部分，可以使用自动化测试工具，如 Selenium 来进行自动化测试，以及对 GUI 部分的功能进行测试。

3. 如果想系统的从零开始学习 UnitTest，建议先了解一下单元测试概念，然后学习一下比较流行的单元测试框架，如 JUnit、TestNG 等，并熟练掌握使用它们进行单元测试的方法。接着学习一下持续集成工具，如 Jenkins，并熟悉它的使用方法，以及如何将其与单元测试框架结合起来。最后，学习一下自动化测试工具，如 Selenium，以及如何使用它进行自动化测试。","1.0","davinci","chinese","","chinese"
