text,label,model,source,domain,language
قومی ٹیم کے سابق کپتان سرفراز احمد نے قومی ٹیم میں کم بیک پر خوشی کا اظہار کرتے ہوئے کہا ہے کہ اب جب مجھے دوبارہ قومی ٹیم کی نمائندگی کا موقع ملے گا تو کوشش ہو گی کہ غلطیوں کو نہ دہراں اور 2014 سے زیادہ اچھے انداز میں کم بیک کروں سرفراز احمد نے ہفتے کو لائن ویڈیو پریس کانفرنس سے خطاب کرتے ہوئے کہا کہ میرا قومی ٹیم میں کم بیک ہوا ہے اور اس سے زیادہ خوشی کی بات کوئی نہیں ہےمزید پڑھیں دورہ انگلینڈ کیلئے پاکستان کے 29 رکنی اسکواڈ کا اعلان فواد اور حیدر شاملواضح رہے کہ پاکستان کرکٹ بورڈ نے گزشتہ روز ہی دورہ انگلینڈ کے 29 رکنی اسکواڈ کا اعلان کیا ہے اور سرفراز احمد اس ٹیم کا حصہ ہیںانہوں نے کہا کہ انگلینڈ کا دورہ ہمیشہ سے ہی مشکل ہوتا ہے یہاں تیاری کر رہے ہیں اور میرا انگلینڈ میں کھیلنے کا تجربہ بھی ہے کیونکہ میں نے ٹیسٹ ٹیم کے ساتھ دو تین دورے کیے ہوئے ہیں لہذا جب بھی موقع ملے گا تو کوشش کروں گا کہ اپنے لیے اور ٹیم کے لیے اچھا پرفارم کر سکوںبحیثیت وکٹ کیپر ٹیم کی اولین ترجیح نہ ہونے کے سوال کا جواب دیتے ہوئے سرفراز احمد نے کہا کہ کیریئر میں اتار چڑھا تا رہتا ہے رہی بات اولین وکٹ کیپر کی تو 90 کی دہائی میں بھی کبھی معین بھائی فرسٹ چوائس تھے تو کبھی راشد بھائی تھےانہوں نے کا کہ مجھے بتا دیا گیا ہے کہ میں سیکنڈ چوائس وکٹ کیپر ہوں رضوان ابھی اچھی کارکردگی دکھا رہے ہیں اور مجھے بھی موقع ملے گا تو کوشش ہو گی کہ ٹیم کے لیے اچھی کارکردگی دکھا سکوںسابق کپتان نے مزید کہا کہ کچھ غلطیاں ہوتی ہیں جس کی وجہ سے انسان ٹیم سے باہر ہوتا ہے تو ہو سکتا ہے کہ میں نے کوئی غلطیاں کی ہوں جس کی وجہ سے میں ٹیم سے باہر ہوں اور کوشش ہو گی کہ اب جب مجھے دوبارہ موقع ملے تو میں ان غلطیوں کو نہ دہراںیہ بھی پڑھیں عامر اور حارث سہیل کی ذاتی وجوہات کے سبب دورہ انگلینڈ سے معذرتایک سوال کے جواب میں انہوں نے کہا کہ جب کپتان ہوتے ہیں تو اپنے بارے میں کم سوچتے ہیں اور کوشش کرتے ہیں کہ ٹیم کی کارکردگی زیادہ سے زیادہ بہتر ہو اور پوری توجہ نتیجے پر ہوتی ہےان کا کہنا تھا کہ اب میں کپتان نہیں ہوں تو میری کوشش ہو گی کہ اپنے لیے اور اپنی ٹیم کے لیے اچھا کردار ادا کر سکوں کیونکہ اب میں کپتان کے بجائے بحیثیت کھلاڑی ٹیم کا حصہ ہوں گا2017 کی چیمپیئنز ٹرافی جیتنے والے سرفراز نے مزید کہا کہ ہمارا ماضی میں انگلینڈ میں اچھا ریکارڈ رہا ہے اور دورے کے لیے بہت اچھی اور متوان ٹیم کا انتخاب کیا گیا ہے بالرز بھی اچھے منتخب کیے گئے ہیں جو انگلینڈ میں کر سکتے ہیں اسی لیے مجھے پوری امید ہے کہ ہم اس سیریز میں اچھی کارکردگی دکھائیں گےمزید پڑھیں یونس خان دورہ انگلینڈ کیلئے قومی ٹیم کے بیٹنگ کوچ مقررسرفراز احمد نے دورے سے دستبردار ہونے والے محمد عامر اور حارث سہیل کے فیصلے کا دفاع کرتے ہوئے کہا کہ پی سی بی کے چیف ایگزیکٹو وسیم خان نے ہم سب کو فون کر کے دورے پر جانے کے حوالے سے فیصلے کا اختیار دیا تھا اور سب کھلاڑیوں نے اپنی مرضی سے فیصلہ کیا ہمیں حارث سہیل کے فیصلے کا احترام کرنا چاہیےانہوں نے یونس خان کی بطور بیٹنگ کوچ ٹیم مینجمنٹ میں شمولیت کو خوش ئند قرار دیتے ہوئے کہا کہ یونس خان کے نے سے بہت فرق پڑے گا ان کا تجربہ اور کام کے طریقہ کار سے سیکھنے کا موقع ملے گا ہماری کوشش ہو گی کہ ان کے تجربے سے زیادہ سے زیادہ مستفید ہوسکیںان کا کہنا تھا کہ کسی بھی کھلاڑی کے لیے کم بیک سان نہیں ہوتا اور کم بیک پر ایسا محسوس ہوتا ہے کہ پہلا میچ کھیل رہے ہیں کوشش ہو گی کہ جس طرح 2014 میں کم بیک کیا تھا اس سے زیادہ اچھے انداز کم بیک کروںیہ بھی پڑھیں کرکٹ میں تھوک سے گیند چمکانے پر پابندی متبادل کھلاڑی بھی متعارفیاد رہے کہ تینوں فارمیٹ میں قومی ٹیم کے کپتان سرفراز احمد کو گزشتہ سال سری لنکا کے خلاف ٹی20 سیریز میں کلین سوئپ شکست کے بعد قیادت سے ہٹا دیا گیا تھالگاتار 11 ٹی20 سیریز جیتنے کے عالمی ریکارڈ کے حامل سرفراز کو صرف دوسری سیریز میں شکست کے بعد ناصرف تینوں فارمیٹس میں کپتان کے منصب سے ہٹا دیا گیا تھا بلکہ ساتھ ساتھ قومی ٹیم کے دروازے بھی بند کر دیے گئے تھے,0,human,urdu,,arabic
"ہیری پوٹر کے پروفیسر اسنیپ کے نام سے دنیا بھر میں مشہور شخصیت، آج اپنی زندگی کے آخری دور میں پہنچ چکے ہیں۔ ان کی عمر 69 برس ہو گئی ہے اور انہیں چل بسے کی زیادتی کی وجہ سے انتقال کرنا پڑا ہے۔

پروفیسر اسنیپ کے نام سے وابستہ ایک بڑی فلمی سیریز کے فینز بھی ان کے انتقال پر دکھی ہیں۔ ان کے فینز نے ان کی یادوں کو خراجِ عزت دیتے ہوئے ان کے نام سے وابستہ ہیش ٹیگز کو وائرل کر دیا ہے۔

پروفیسر اسنیپ کے نام سے وابستہ فلمی سیریز کے کچھ کرداروں نے بھی ان کے انتقال پر اظہارِ افسوس کیا ہے۔ ان میں سے ایک کردار نے کہا کہ پروفیسر اسنیپ کی شخصیت کے ذریعے وہ بہت کچھ سیکھا ہے اور ان کے انتقال سے وہ بہت دکھی ہیں۔

پروفیسر اسنیپ کے نام سے وابستہ فلمی سیریز کے کچھ فینز نے ان کے نام سے وابستہ ہیش ٹیگز کے ذریعے ان کی یادوں کو خراجِ عزت دیا ہے۔ ان کے فینز نے ان کے نام سے وابستہ ہیش ٹیگز کو وائرل کر دیا ہے جس سے ان کی یادوں کو خراجِ عزت دیا جا رہا ہے۔

پروفیسر اسنیپ کے انتقال سے فلمی دنیا میں بہت دکھ کا ماحول پیدا ہوا ہے۔ ان کے فینز اور کرداروں کے علاوہ دوسرے لوگ بھی ان کے انتقال پر دکھی ہیں۔ ان کے فینز نے ان کی یادوں کو خراجِ عزت دیتے ہوئے ان کے نام سے وابستہ ہیش ٹیگز کو وائرل کر دیا ہے۔

پروفیسر اسنیپ کے نام سے وابستہ فلمی سیریز کے کچھ کرداروں نے بھی ان کے انتقال پر اظہارِ افسوس کیا ہے۔ ان میں سے ایک کردار نے کہا کہ پروفیسر اسنیپ کی شخصیت کے ذریعے وہ بہت کچھ سیکھا ہے اور ان کے انتقال سے وہ بہت دکھی ہیں۔

پروفیسر اسنیپ کے انتقال سے فلمی دنیا میں بہت دکھ کا ماحول پیدا ہوا ہے۔ ان کے فینز اور کرداروں کے علاوہ دوسرے لوگ بھی ان کے انتقال پر دکھی ہیں۔ ان کے فینز نے ان کی یادوں کو خراجِ عزت دیتے ہوئے ان کے نام سے وابستہ ہیش ٹیگز کو وائرل کر دیا ہے۔

پروفیسر اسنیپ کے نام سے وابستہ فلمی سیریز کے کچھ کرداروں نے بھی ان کے انتقال پر اظہارِ افسوس کیا ہے۔ ان میں سے ایک کردار نے کہا کہ پروفیسر اسنیپ کی شخصیت کے ذریعے وہ بہت کچھ سیکھا ہے اور ان کے انتقال سے وہ بہت دکھی ہیں۔

پروفیسر اسنیپ کے نام سے وابستہ فلمی سیریز کے کچھ فینز نے ان کے نام سے وابستہ ہیش ٹیگز کے ذریعے ان کی یادوں کو خراجِ عزت دیا ہے۔ ان کے فینز نے ان کے نام سے وابستہ ہیش ٹیگز کو وائرل کر دیا ہے جس سے ان کی یادوں کو خراجِ عزت دیا جا رہا ہے۔

پروفیسر اسنیپ کے انتقال سے فلمی دنیا میں بہت دکھ کا ماحول پیدا ہوا ہے۔ ان کے فینز اور کرداروں کے علاوہ دوسرے لوگ بھی ان کے انتقال پر دکھی ہیں۔ ان کے فینز نے ان کی یادوں کو خراجِ عزت دیتے ہوئے ان کے نام سے وابستہ ہیش ٹیگز کو وائرل کر دیا ہے۔

پروفیسر اسنیپ کے نام سے وابستہ فلمی سیریز کے کچھ کرداروں نے بھی ان کے انتقال پر اظہارِ افسوس کیا ہے۔ ان میں سے ایک کردار نے کہا کہ پروفیسر اسنیپ کی شخصیت کے ذریعے وہ بہت کچھ سیکھا ہے اور ان کے انتقال سے وہ بہت دکھی ہیں۔

پروفیسر اسنیپ کے نام سے وابستہ فلمی سیریز کے کچھ فینز نے ان کے نام سے وابستہ ہیش ٹیگز کے ذریعے ان کی یادوں کو خراجِ عزت دیا ہے۔ ان کے فینز نے ان کے نام سے وابستہ ہیش ٹیگز کو وائرل کر دیا ہے جس سے ان کی یادوں کو خراجِ عزت دیا جا رہا ہے۔

پروفیسر اسنیپ کے انتقال سے فلمی دنیا میں بہت دکھ کا ماحول پیدا ہوا ہے۔ ان کے فینز اور کرداروں کے علاوہ دوسرے لوگ بھی ان کے انتقال پر دکھی ہیں۔ ان کے فینز نے ان کی یادوں کو خراجِ عزت دیتے ہوئے ان کے نام سے وابستہ ہیش ٹیگز کو وائرل کر دیا ہے۔

پروفیسر اسنیپ کے نام سے وابستہ فلمی سیریز کے کچھ کرداروں نے بھی ان کے انتقال پر اظہارِ افسوس کیا ہے۔ ان میں سے ایک کردار نے کہا کہ پروفیسر اسنیپ کی شخصیت کے ذریعے وہ بہت کچھ سیکھا ہے اور ان کے انتقال سے وہ بہت دکھی ہیں۔

پروفیسر اسنیپ کے نام سے وابستہ فلمی سیریز کے کچھ فینز نے ان کے نام سے وابستہ ہیش ٹیگز کے ذریعے ان کی یادوں کو خراجِ عزت دیا ہے۔ ان کے فینز نے ان کے نام سے وابستہ ہیش ٹیگز کو وائرل کر دیا ہے جس سے ان کی یادوں کو خراجِ عزت دیا جا رہا ہے۔

پروفیسر اسنیپ کے انتقال سے فلمی دنیا میں بہت دکھ کا ماحول پیدا ہوا ہے۔ ان کے فینز اور کرداروں کے علاوہ دوسرے لوگ بھی ان کے انتقال پر دکھی ہیں۔ ان کے فینز نے ان کی یادوں کو خراجِ عزت دیتے ہوئے ان کے نام سے وابستہ ہیش ٹیگز کو وائرل کر دیا ہے۔

پروفیسر اسنیپ کے نام سے وابستہ فلمی سیریز کے کچھ کرداروں نے بھی ان کے انتقال پر اظہارِ افسوس کیا ہے۔ ان میں سے ایک کردار نے کہا کہ پروفیسر اسنیپ کی شخصیت کے ذریعے وہ بہت کچھ سیکھا ہے اور ان کے انتقال سے وہ بہت دکھی ہیں۔

پروفیسر اسنیپ کے نام سے وابستہ فلمی سیریز کے کچھ فینز نے ان کے نام سے وابستہ ہیش ٹیگز کے ذریعے ان کی یادوں کو خراجِ عزت دیا ہے۔ ان کے فینز نے ان کے نام سے وابستہ ہیش ٹیگز کو وائرل کر دیا ہے جس سے ان کی یادوں کو خراجِ عزت دیا جا رہا ہے۔

پروفیسر اسنیپ کے انتقال سے فلمی دنیا میں بہت دکھ کا ماحول پیدا ہوا ہے۔ ان کے فینز اور کرداروں کے علاوہ دوسرے لوگ بھی ان کے انتقال پر دکھی ہیں۔ ان کے فینز نے ان کی یادوں کو خراجِ عزت دیتے ہوئے ان کے نام سے وابستہ ہیش ٹیگز کو وائرل کر دیا ہے۔

پروفیسر اسنیپ کے نام سے وابستہ فلمی سیریز کے کچھ کرداروں نے بھی ان ک",1,chatGPT,urdu,,arabic
"ایک بہت بڑی خبر کے مطابق، جب ٹام کروز کے ٹرین کے سفر کے انداز نے لوگوں کو ڈرا دیا۔ ٹام کروز کے ٹرین کے سفر کے دوران، جو ایک بہت مشہور ٹورسٹ آٹریکشن ہے، ایک بڑی حادثہ واقع ہوا جس کی وجہ سے لوگوں کو بہت سارے خطرات کا سامنا کرنا پڑا۔

حادثے کے دوران، ٹام کروز کے ٹرین کے ایک حصے کا ٹوٹنا شروع ہوگیا جس کی وجہ سے ٹرین کے اندر بیکاری پھیل گئی۔ اس کے بعد، لوگوں نے آوازیں بلانے شروع کیں اور انہوں نے آپس میں ٹکرا کر ایک دوسرے کو دبوچ لیا۔

اس حادثے کے بعد، کئی لوگ زخمی ہوگئے جبکہ کچھ لوگ بہت خوفزدہ ہوگئے۔ انہیں ایک دوسرے کی مدد کرنے کے لیے آپس میں مدد کرنے کی کوشش کی گئی۔

ٹام کروز کے ٹرین کے سفر کے انداز نے لوگوں کو ڈرا دینے کے ساتھ ساتھ، اس کے بعد بھی ان کے لیے بہت سارے خطرات کا سامنا کرنا پڑا۔ اس کے بعد، ٹام کروز کے ٹرین کے سفر کے انداز کی جانچ پڑتال کی جارہی ہے تاکہ اس طرح کے حوادث کو مستقبل میں روکا جاسکے۔",1,chatGPT,urdu,,arabic
سابق ٹیسٹ کرکٹر محمد وسیم کا کہنا ہے کہ ٹیسٹ میچز میں فتوحات کیلئے بیٹسمین سے زیادہ کردار بولرز کو ادا کرنا پڑتا ہےکراچی میں میڈیا سے گفت گو میں محمد وسیم نے کہا کہ ریڈ بال کرکٹ میں وکٹ ٹیکنگ بولرز ضروری ہیں امید ہے کہ نسیم شاہ اور محمد موسی خان وقت کے ساتھ ساتھ اسٹرائیک بولر بن جائیں گےاٹھارہ ٹیسٹ میچز میں پاکستان کی نمائندگی کرنے والے محمد وسیم نے کہا کہ ٹیسٹ کرکٹ میں ایسے بولرز اہم ہوتے ہیں جو وکٹیں لیں کیونکہ اگر میچ میں حریف کو دو بار وٹ نہیں کر سکتے تو پھر 600 یا 700 رنز کا بھی کوئی فائدہ نہیں ہو گاناردرن ٹیم کے کوچ نے کہا کہ اظہر علی اور اسد شفیق نے پچھلی مرتبہ سٹریلیا کے دورے میں اچھی بیٹنگ کی تھی امید ہے اس بار بھی وہ اچھا کریں گےمحمد وسیم ریجنل کوچ ہونے کے ناطے قومی سلیکشن کمیٹی کے رکن کا درجہ بھی رکھتے ہیں انہوں نے کہا کہ ضروری نہیں کہ ڈومیسٹک کرکٹ میں پرفارمنس ٹو میٹک سلیکشن کی گارنٹی ہو جائے یہ بھی دیکھنا ہوگا کہ کنڈیشنز کے حساب سے کس بیٹسمین کی تکنیک کہاں کی کنڈیشن میں مناسب رہے گی سابق ٹیسٹ کرکٹر نے کہا کہ ایشیائی کنڈیشنز پاکستان کی کنڈیشنز سے زیادہ مختلف نہیں ہیں اور اب پاکستان کے ڈومیسٹک کا معیار بھی بہتر ہو گیا ہے اس لیے کھلاڑیوں کو ایشین کنڈیشنز میں مسئلہ نہیں ہونا چاہیے لیکن سٹریلیا یا جنوبی افریقا جیسی کنڈیشنز میں چیلنج رہتا ہےمحمد وسیم نے سٹریلیا میں ٹی ٹوینٹی کی کارکردگی پر کہا کہ نوجوان ٹیم ہے نیا کپتان ہے اس کو وقت دینا ضروری ہے اس سے پہلے بڑے بڑے پلیئرز کو بھی سٹریلیا میں دشواری کا سامنا کرنا پڑا تھا امید ہے وقت کے ساتھ پاکستان کرکٹ کی چیزیں بہتر ہوں گی,0,human,urdu,,arabic
"کر دیا گیا

ایک جدید ایجاد نے اس دنیا میں ایک نیا روش پیدا کیا ہے جو نازیبا تصاویر کھینچنے سے انکار کرنے میں مدد دیتا ہے۔ یہ ایجاد فون کے ذریعے کیا جاتا ہے جو اس کی خصوصیت ہے کہ وہ نازیبا تصاویر کھینچنے سے انکار کر دیتا ہے۔

اس فون کو ایک یابینہ کمپنی نے تیار کیا ہے جس کا نام ""پرائیوسی فون"" ہے۔ یہ فون ایک خصوصی سافٹ ویئر کے ساتھ آتا ہے جو اس کی کیمرے کو نازیبا تصاویر کھینچنے سے روک دیتا ہے۔

اس فون کی کیمرے کے سامنے کچھ بھی نازیبا یا غیر اخلاقی نظر آنے کی صورت میں، یہ فون خود بخود بند ہو جاتا ہے۔ اس کے علاوہ، یہ فون ایک خصوصی بٹن کے ذریعے بھی بند کیا جا سکتا ہے جو کیمرے کو فوراً بند کر دیتا ہے۔

پرائیوسی فون کے مالکین کو اس کی خصوصیتوں کے لئے بہت سارے مثبت جوابات ملے ہیں۔ ان کے مطابق، یہ فون ان لوگوں کے لئے بہت مفید ہے جو عوام کے درمیان کام کرتے ہیں یا عوام کے ساتھ رہتے ہیں۔

پرائیوسی فون کی قیمت تقریباً 500 ڈالرز ہے اور یہ امریکی بازار میں دستیاب ہے۔ اس کے علاوہ، اس فون کی خصوصیتوں کو دیکھتے ہوئے، اس کی فروخت کی شرح بھی بہت زیادہ ہے۔",1,chatGPT,urdu,,arabic
"پاکستان اسٹیل کے ملازمین کی تنخواہوں کیلئے رقم فراہم کردی گئی ہے۔ اسٹیل ملز کے ملازمین کی تنخواہوں میں اضافہ کیلئے 1.5 ارب روپے کی رقم فراہم کی گئی ہے۔ اس رقم کی فراہمی کے بعد، اسٹیل ملز کے تمام ملازمین کی تنخواہوں میں 10 فیصد اضافہ کیا جائے گا۔

اسٹیل ملز کے ملازمین کی تنخواہوں میں اضافہ کیلئے پاکستان اسٹیل کے چیئرمین نائب الدین دار نے ایک اجلاس کا انعقاد کیا۔ اجلاس میں اسٹیل ملز کے ملازمین کی تنخواہوں کی بحالی کے لئے اقدامات پر بحث کی گئی۔

اسٹیل ملز کے ملازمین کی تنخواہوں میں اضافہ کیلئے فراہم کی گئی رقم کے بارے میں نائب الدین دار نے بتایا کہ یہ رقم اسٹیل ملز کے ملازمین کی تنخواہوں میں اضافہ کیلئے فراہم کی جائے گی۔ انہوں نے کہا کہ اسٹیل ملز کے ملازمین کی تنخواہوں میں اضافہ کیلئے اس رقم کی فراہمی کی جائے گی۔

نائب الدین دار نے اسٹیل ملز کے ملازمین کی تنخواہوں میں اضافہ کے لئے اقدامات کی بھی بات کی۔ انہوں نے کہا کہ اسٹیل ملز کے ملازمین کی تنخواہوں میں اضافہ کے لئے اسٹیل ملز کے مالی حالات کی جانچ پڑتال کی جائے گی۔

اسٹیل ملز کے ملازمین کی تنخواہوں میں اضافہ کے فیصد کے بارے میں نائب الدین دار نے بتایا کہ 10 فیصد اضافہ کیا جائے گا۔ انہوں نے کہا کہ اسٹیل ملز کے ملازمین کی تنخواہوں میں اضافہ کے لئے اسٹیل ملز کے مالی حالات کی جانچ پڑتال کی جائے گی۔

اسٹیل ملز کے ملازمین نے اس اقدام کا خیر مقدم کیا اور اسٹیل ملز کے چیئرمین کا شکریہ ادا کیا۔",1,chatGPT,urdu,,arabic
نئی دہلی ہندوستان کی ایک کمپنی نے انتہائی سستا اسمارٹ فون متعارف کروانے کا اعلان کیا ہےرنگنگ بیلز نامی مقامی کمپنی کا فریڈم 251 اسمارٹ فون صرف 500 ہندوستانی روپے تقریبا 765 پاکستانی روپے میں 17 فروری سے دستیاب ہوگا دی ہندو کی رپورٹ کے مطابق کمپنی کا کہنا ہے کہ سستا ترین اسمارٹ فون متعارف کروانے کا بنیادی مقصد وزیراعظم نریندر مودی کے ہندوستان کے ہر شخص کو بااختیار بنا کر ترقی کی کہانی لکھنے کے وژن کو پروان چڑھانا ہےہندوستان کے وزیر دفاع منوہر پاریکر 17 فروری کو یہ اسمارٹ فون فریڈم 251 متعارف کروائیں گےواضح رہے کہ ہندوستان کی موبائل مارکیٹ میں اس سے قبل بھی سستے اسمارٹ فون دستیاب تھے جن میں انیل امبانی کی کمپنی ریلائنس کمیونیکیشن نے گزشتہ سال 999 روپے کا اسمارٹ فون متعارف کروایا تھا500 روپے کا اسمارٹ فون متعارف کروانے والی کمپنی رنگنگ بیلز گزشتہ برس ہی قائم ہوئی ہے اس سے قبل اس نے موبائل فون متعارف کروائے تھےرنگنگ بیلز نامی کمپنی نے اس سے قبل ہندوستان کا سب سے سستا اسمارٹ فون متعارف کروایا تھا جس کی قیمت 2999 روپے 4600 پاکستانی روپے تھیخیال رہے کہ بین الاقوامی موبائل فون بنانے والے ادارے چینی کمپنی شومی گیونی اور امریکی کمپنی موٹرولا بھی ہندوستان میں موبائل فون بنا رہی ہیں لیکن حکومت مقامی کمپنیوں کو گے بڑھنے پر زور دے رہی ہےپ موبائل فون صارف ہیں تو باخبر رہنے کیلئے ڈان نیوز کی فری انڈرائیڈ ایپ ڈان لوڈ کریں,0,human,urdu,,arabic
"الإكوادور، رسمياً جُمهُوريَّة الإكُواْدُور، هي دولة تقع في أمريكا الجنوبية وتحدها بيرو من الشرق والجنوب، وكولومبيا من الشمال، ومحيط المحيط الهادئ من الغرب. تبلغ مساحتها حوالي 283,561 كيلومتر مربع ويبلغ عدد سكانها حوالي 17 مليون نسمة. وهي تحوي أهم مدنها العاصمة كيتو، وجواهر كونية وسياحية أخرى مثل بانيس وغواياكيل. يتكون اقتصاد الإكوادور بشكل رئيسي من صادرات النفط، وهو ما جعل عدداً كبيراً من الإكوادوريين يكتسبون بعض الثروة، ولكن بسبب التغيُّرات في أسعار النفط، والتي تمثِّل مورِّدًا رئيسيًا للعملة الأجنبية، تعاني الدولة خلافاتٍ عدة تتمثَّل في الفقر، والعدم المساواة، والبيئة. عادة ما تقوم الإكوادور بإخراج النفط الخام من منطقة الأمازون، وذلك يحدِّد خط أمام المزارع والأشخاص الذين يعيشون هناك ويؤثِّر سلباً على المناطق الغابية المحيطة. تتميز الإكوادور بتضاريسها المتنوعة والمتشابكة ما يجعلها من أكثر الدول تميزاً في العالم. يتنوع تضاريسها بين التلال الخضراء، والجبال العالية، والغابات الأمازونية المطيرة، والشواطئ الرملية الخلابة. ويعتبر محمية جالاباغوس للحياة البرية في المحيط الهادئ أحد المواقع السياحية الشهيرة في الإكوادور. تمتلك الإكوادور تاريخًا غنيًا، يمتزج بين الثقافة الإسبانية الافريقية والأمريكية الأصلية. وتحوي الدولة عدداً من المعالم الأثرية والتاريخية المهمة، مثل قرية إنكا القديمة في إنكا، ومدينة كولونيال الأسبانية في قلب كيتو. تشتهر الإكوادور أيضًا بالرقصات والموسيقى التقليدية الخاصة بها، وخاصة السلسلة المثيرة للاهتمام من التقاليد التي تتطرق للعائلات الكبيرة، وحياة الشاطئ والتي يتم تمثيلها في الرقصات المختلفة. ويتمتَّع السكان المحليون بعيد كارنفال ضخم يمتد لأيام. الإكوادور هي دولة جميلة ويمكن للسياح الاستمتاع بالرحلات والصُعود إلى أقمار الجبال والتسلق، واستكشاف الغابات وجزر الغالاباغوس، وعيش أجمل البيئات الطبيعية في العالم. كما أن السياحة في الإكوادور تعرض العديد من الفرص للاسترخاء والاستجمام في الباحات الخضراء الرائعة، فضلًا عن تجرُّب المدن النابضة بالحياة والثقافة، واستكشاف المطابخ المحلية الحميمة واللذيذة.",1,chatGPT,arabic,,arabic
"لا تزال ليبيا تُعتبر واحدة من أكبر منتجي النفط في إفريقيا ومن أهم منتجي النفط في العالم. ورغم الاضطرابات السياسية والأمنية التي شهدتها البلاد في السنوات الأخيرة، فإن صناعة النفط لا تزال تُعد عماد الاقتصاد الليبي.

تأثرت أعمال الإنتاج والتصدير منذ اندلاع أحداث الثورة الليبية في عام 2011، حيث خرجت معظم الشركات النفطية العاملة في مجالات الاستكشاف والتنقيب والإنتاج والصيانة، وتوقفت العديد من حقول النفط عن الإنتاج، ما أدى إلى تراجع حجم الإنتاج النفطي الليبي بشكل كبير.

وفي الوقت الحالي، تتكون الإنتاج النفطي الليبي بشكل رئيسي من حقول النفط البحرية، وخاصة حقل النفط الكبير المعروف باسم ""الحرائق""، والذي يُعد أحد أكبر حقول النفط في البلاد، حيث تبلغ طاقته الإنتاجية حوالي مليون برميل يوميًا.

وعلى الرغم من تحكم الحكومة الليبية المدعومة من الأمم المتحدة في الإنتاج النفطي، إلا أن هناك مجموعة من الفصائل المسلحة والميليشيات التي تمتلك وتتحكم في بعض المناطق النفطية، مما يجعل الوضع غير مستقر ومتقلب.

يُفترض أن يكون النفط مصدرًا رئيسيًا للإيرادات الحكومية وعاملًا مهمًا في تنمية البلاد، لكن التوزيع غير المنتظم للإيرادات النفطية والفساد المستشري في القطاع النفطي يعوقان تحقيق الاستقرار الاقتصادي في ليبيا.

وبالإضافة إلى ذلك، يواجه قطاع النفط الليبي تحديات عديدة تتعلق بالتكنولوجيا والبنية التحتية والتنمية البشرية، حيث تفتقر الشركات النفطية الليبية إلى الخبرات والكفاءات اللازمة للعمل بكفاءة وتحقيق الإنتاجية العالية.

وفي ظل هذه التحديات، تسعى الحكومة الليبية والشركات النفطية إلى جذب الاستثمارات الأجنبية وتعزيز التعاون الدولي في مجال صناعة النفط. وقد تم توقيع العديد من الاتفاقيات والعقود مع شركات نفطية أجنبية للاستثمار في حقول النفط الليبية وتحسين البنية التحتية النفطية.

ومن المهم أيضًا التأكيد على أهمية تنمية قطاعات أخرى غير النفط في ليبيا، مثل الزراعة والصناعة والسياحة، لتحقيق تنو diversify التي ستعزز استقرار الاقتصاد الليبي في المستقبل.

بشكل عام، يترقب العالم بأسره تطورات القطاع النفطي في ليبيا، وذلك بسبب أهميته الجيوسياسية والاقتصادية. يجب أن تعمل الحكومة الليبية والشركات النفطية على تحقيق الاستقرار في صناعة النفط، وتكوين شراكات مستدامة مع الشركات الأجنبية، وتنمية القطاعات الأخرى لتحقيق تنو diversify التي ستعزز استقرار الاقتصاد الليبي في المستقبل.",1,chatGPT,,arabic,arabic
"ایڈیلیڈ، آسٹریلیا: ایڈیلیڈ قومی کرکٹ ٹیم کے کھلاڑیوں نے جمعہ کے دن نماز جمعہ ادا کی۔ اس موقع پر ٹیم کے تمام کھلاڑیوں نے مل کر نماز جمعہ کی ادائیگی کی۔ اس موقع پر ٹیم کے کپتان، کوچ اور دیگر افراد بھی موجود تھے۔

ایڈیلیڈ قومی کرکٹ ٹیم کے کھلاڑیوں نے اپنے مذہبی اعتقادات کی پابندی کرتے ہوئے نماز جمعہ کی ادائیگی کی۔ ان کھلاڑیوں نے اپنے کرکٹ کے میدان سے بھی باہر نماز جمعہ کی ادائیگی کی۔

ایڈیلیڈ قومی کرکٹ ٹیم کے کپتان نے بیان کیا کہ نماز جمعہ کی ادائیگی کرنا ان کے لئے ایک بڑا فخر ہے۔ انہوں نے کہا کہ یہ ایک بہت بڑی سنت ہے جو ہمیں اپنے دین کی پابندی کرنے کے لئے ملی ہے۔

ایڈیلیڈ قومی کرکٹ ٹیم کے کھلاڑیوں کی یہ اقداری کاروائی دنیا بھر میں تعریف کی جا رہی ہے۔ ان کھلاڑیوں کی یہ اقداری کاروائی ان کے فینز اور دوسرے کھلاڑیوں کے لئے بھی ایک مثبت پیغام ہے۔

ایڈیلیڈ قومی کرکٹ ٹیم کے کھلاڑیوں کی یہ اقداری کاروائی ان کے دینی اعتقادات کی پابندی کرنے کے ساتھ ساتھ ان کے کرکٹ کے میدان پر بھی ایک بہترین مثال ہے۔ ان کے اس کاروائی سے دوسرے کھلاڑیوں کو بھی ایک مثبت پیغام ملتا ہے کہ وہ بھی اپنے دینی اعتقادات کی پابندی کریں۔",1,chatGPT,urdu,,arabic
